Company,Year,Date,Close,PBR,PriceIdx2007
Samsung Electronics,2007,2007-12-28,11120.0,1.3,100.0
Samsung Electronics,2008,2008-12-31,9020.0,0.9105,81.11510791366906
Samsung Electronics,2009,2009-12-30,15980.0,1.42,143.70503597122303
Samsung Electronics,2010,2010-12-30,18980.0,1.38,170.68345323741008
Samsung Electronics,2011,2011-12-29,21160.0,1.49,190.28776978417267
Samsung Electronics,2012,2012-12-28,30440.0,1.78,273.7410071942446
Samsung Electronics,2013,2013-12-30,27440.0,1.33,246.76258992805757
Samsung Electronics,2014,2014-12-30,26540.0,1.15,238.66906474820144
Samsung Electronics,2015,2015-12-30,25200.0,1.01,226.61870503597123
Samsung Electronics,2016,2016-12-29,36040.0,1.27,324.1007194244604
Samsung Electronics,2017,2017-12-28,50960.0,1.59,458.273381294964
Samsung Electronics,2018,2018-12-28,38700.0,1.04,348.0215827338129
Samsung Electronics,2019,2019-12-30,55800.0,1.41,501.7985611510792
Samsung Electronics,2020,2020-12-30,81000.0,1.97,728.4172661870504
Samsung Electronics,2021,2021-12-30,78300.0,1.73,704.136690647482
Samsung Electronics,2022,2022-12-29,55300.0,1.04,497.30215827338134
Samsung Electronics,2023,2023-12-28,78500.0,1.43,705.9352517985611
Samsung Electronics,2024,2024-12-30,53200.0,0.8865,478.4172661870503
Samsung Electronics,2025,2025-12-30,119900.0,1.96,1078.2374100719426
Samsung Electronics,2026,2026-07-16,255000.0,,2293.1654676258995
SK Hynix,2007,2007-12-28,25950.0,1.24,100.0
SK Hynix,2008,2008-12-31,6700.0,0.4367,25.818882466281313
SK Hynix,2009,2009-12-30,23150.0,2.18,89.21001926782274
SK Hynix,2010,2010-12-30,24000.0,1.78,92.48554913294798
SK Hynix,2011,2011-12-29,21950.0,1.66,84.58574181117534
SK Hynix,2012,2012-12-28,25750.0,1.84,99.22928709055877
SK Hynix,2013,2013-12-30,36800.0,2.0,141.8111753371869
SK Hynix,2014,2014-12-30,47750.0,1.93,184.00770712909443
SK Hynix,2015,2015-12-30,30750.0,1.02,118.4971098265896
SK Hynix,2016,2016-12-29,44700.0,1.31,172.2543352601156
SK Hynix,2017,2017-12-28,76500.0,1.59,294.7976878612717
SK Hynix,2018,2018-12-28,60500.0,0.8832,233.14065510597302
SK Hynix,2019,2019-12-30,94100.0,1.34,362.62042389210023
SK Hynix,2020,2020-12-30,118500.0,1.56,456.64739884393066
SK Hynix,2021,2021-12-30,131000.0,1.45,504.81695568400767
SK Hynix,2022,2022-12-29,75000.0,0.81,289.01734104046244
SK Hynix,2023,2023-12-28,141500.0,1.87,545.2793834296725
SK Hynix,2024,2024-12-30,173900.0,1.62,670.1348747591522
SK Hynix,2025,2025-12-30,651000.0,3.86,2508.6705202312137
SK Hynix,2026,2026-07-16,1842000.0,,7098.2658959537575
