Company,Year,Date,Close,PBR,PER
Samsung Electronics,2007,2007-12-28,11120.0,1.3,7.96
Samsung Electronics,2008,2008-12-31,9020.0,0.9105,8.77
Samsung Electronics,2009,2009-12-30,15980.0,1.42,9.12
Samsung Electronics,2010,2010-12-30,18980.0,1.38,6.71
Samsung Electronics,2011,2011-12-29,21160.0,1.49,8.94
Samsung Electronics,2012,2012-12-28,30440.0,1.78,7.75
Samsung Electronics,2013,2013-12-30,27440.0,1.33,5.3
Samsung Electronics,2014,2014-12-30,26540.0,1.15,6.73
Samsung Electronics,2015,2015-12-30,25200.0,1.01,7.88
Samsung Electronics,2016,2016-12-29,36040.0,1.27,9.15
Samsung Electronics,2017,2017-12-28,50960.0,1.59,6.95
Samsung Electronics,2018,2018-12-28,38700.0,1.04,5.06
Samsung Electronics,2019,2019-12-30,55800.0,1.41,15.3
Samsung Electronics,2020,2020-12-30,81000.0,1.97,19.1
Samsung Electronics,2021,2021-12-30,78300.0,1.73,12.5
Samsung Electronics,2022,2022-12-29,55300.0,1.04,6.5
Samsung Electronics,2023,2023-12-28,78500.0,1.43,36.1
Samsung Electronics,2024,2024-12-30,53200.0,0.8865,10.6
Samsung Electronics,2025,2025-12-30,119900.0,1.96,18.2
Samsung Electronics,2026,2026-07-16,255000.0,,
