Year,Price,PBR_ActualScenario,PER_ActualScenario,Scenario_BPS,Scenario_EPS,CurrentTrailingPBR_Marker,CurrentTrailingPER_Marker
2007,11120.0,1.3,7.96,,,,
2008,9020.0,0.9105,8.77,,,,
2009,15980.0,1.42,9.12,,,,
2010,18980.0,1.38,6.71,,,,
2011,21160.0,1.49,8.94,,,,
2012,30440.0,1.78,7.75,,,,
2013,27440.0,1.33,5.3,,,,
2014,26540.0,1.15,6.73,,,,
2015,25200.0,1.01,7.88,,,,
2016,36040.0,1.27,9.15,,,,
2017,50960.0,1.59,6.95,,,,
2018,38700.0,1.04,5.06,,,,
2019,55800.0,1.41,15.3,,,,
2020,81000.0,1.97,19.1,,,,
2021,78300.0,1.73,12.5,,,,
2022,55300.0,1.04,6.5,,,,
2023,78500.0,1.43,36.1,,,,
2024,53200.0,0.8865,10.6,,,,
2025,119900.0,1.96,18.2,,,,
2026,255000.0,2.335400086089258,5.464597977027259,109189.0,46664.0,3.98,38.85
2027,255000.0,1.7787016175721768,4.419180978458659,143363.0,57703.0,,
2028,255000.0,1.3129846458030832,4.419180978458659,194214.0,57703.0,,
2029,255000.0,1.0405402648276987,4.419180978458659,245065.0,57703.0,,
2030,255000.0,0.8617310317792887,4.419180978458659,295916.0,57703.0,,
