Company,Year,Date,Close,PBR,PER
SK Hynix,2007,2007-12-28,25950.0,1.24,25.4
SK Hynix,2008,2008-12-31,6700.0,0.4367,-0.5465
SK Hynix,2009,2009-12-30,23150.0,2.18,-31.9
SK Hynix,2010,2010-12-30,24000.0,1.78,4.62
SK Hynix,2011,2011-12-29,21950.0,1.66,-198.0
SK Hynix,2012,2012-12-28,25750.0,1.84,-98.6
SK Hynix,2013,2013-12-30,36800.0,2.0,7.86
SK Hynix,2014,2014-12-30,47750.0,1.93,7.11
SK Hynix,2015,2015-12-30,30750.0,1.02,4.53
SK Hynix,2016,2016-12-29,44700.0,1.31,9.57
SK Hynix,2017,2017-12-28,76500.0,1.59,4.61
SK Hynix,2018,2018-12-28,60500.0,0.8832,2.54
SK Hynix,2019,2019-12-30,94100.0,1.34,30.2
SK Hynix,2020,2020-12-30,118500.0,1.56,16.2
SK Hynix,2021,2021-12-30,131000.0,1.45,9.01
SK Hynix,2022,2022-12-29,75000.0,0.81,22.6
SK Hynix,2023,2023-12-28,141500.0,1.87,-10.6
SK Hynix,2024,2024-12-30,173900.0,1.62,5.99
SK Hynix,2025,2025-12-30,651000.0,3.86,11.04232041387499
SK Hynix,2026,2026-07-16,1842000.0,,
