Year,Price,PBR_ActualScenario,PER_ActualScenario,Scenario_BPS,Scenario_EPS,CurrentTrailingPBR_Marker,CurrentTrailingPER_Marker
2007,25950.0,1.24,25.4,,,,
2008,6700.0,0.4367,,,,,
2009,23150.0,2.18,,,,,
2010,24000.0,1.78,4.62,,,,
2011,21950.0,1.66,,,,,
2012,25750.0,1.84,,,,,
2013,36800.0,2.0,7.86,,,,
2014,47750.0,1.93,7.11,,,,
2015,30750.0,1.02,4.53,,,,
2016,44700.0,1.31,9.57,,,,
2017,76500.0,1.59,4.61,,,,
2018,60500.0,0.8832,2.54,,,,
2019,94100.0,1.34,30.2,,,,
2020,118500.0,1.56,16.2,,,,
2021,131000.0,1.45,9.01,,,,
2022,75000.0,0.81,22.6,,,,
2023,141500.0,1.87,,,,,
2024,173900.0,1.62,5.99,,,,
2025,651000.0,3.86,11.04232041387499,,,,
2026,1842000.0,3.8301907193771885,5.851575827464285,480916.0,314787.0,10.72,31.24
2027,1842000.0,2.5231978039138334,4.729212773495869,730026.0,389494.0,,
2028,1842000.0,1.664923709074015,4.729212773495869,1106357.0,389494.0,,
2029,1842000.0,1.2423382397375577,4.729212773495869,1482688.0,389494.0,,
2030,1842000.0,0.9908451715662938,4.729212773495869,1859019.0,389494.0,,
